;participant_id;goal_id;goal;gcq_1;gcq_9;gcq_10;gcq_14;gcq_19;gcq_21;gcq_29;gcq_34;gcq_36;gcq_38;gcq_45;gcq_49;gcq_51;gcq_60;gcq_62;gcq_67;gcq_73;gcq_74;gcq_78;gcq_83;gcq_87;gcq_90;gcq_95;gcq_99;gcq_105;gcq_109;gcq_112;gcq_116;gcq_122;gcq_126;gcq_129;gcq_132
952;1665;pg_952;Ich möchte so gute Noten wie möglich bekommen;1;0.75;0.75;1;0.75;0.25;1;0.25;0.63;0.75;1;0.59;0.77;0.62;0.5;0.75;0.75;0.72;0.75;0;0.5;0.75;0.54;0.92;0.99;0.25;0.5;1;1;0.95;0.74;0.24
760;1211;pg_760;Strukturierter Arbeiten;1;0.5;1;1;1;0.25;1;0.77;0;0.26;1;0.24;0.75;1;1;0.29;0.75;0.75;0.51;0.76;0.76;1;1;1;0.75;0;0.24;1;1;0.51;0.76;0.25
761;1211;pg_761;Aufmerksamkeit besser einteilen;0.75;0.5;1;1;1;0.26;1;1;0;0.25;1;0.24;0.75;1;0.25;0.75;0.75;0.75;0.51;0.22;0.76;1;1;1;1;0;0.24;1;1;0.76;1;0
762;1211;pg_762;Mentale und körperliche Gesundheit aufrechterhalten;0.75;0.5;1;1;1;0.75;1;1;0;0;1;0.25;0;1;1;1;0.5;0.74;0.26;0.01;0.25;0.5;1;1;1;0;0.24;1;0.51;1;1;0
766;1227;pg_766;Selbstbewusstsein aufbauen, dass ich fähig bin gut wissenschaftlich zu arbeiten, sowohl selbstständig als auch im Team.;0.6;0.9;0.6;0.85;0.56;0.52;1;0.83;0.39;0.53;0.94;0.41;0.63;1;1;0.5;0.34;0.5;0.8;0.41;0.55;0.7;0.62;0.55;0.71;0.45;0.5;0.53;0.3;0.43;0.61;0.45
767;1227;pg_767;Das ich ein einem oder mehreren Gebieten die mir wichtig sind wirklich Ahnung habe.;0.7;0.84;0.87;0.71;0.76;0.26;1;0.64;0.46;0.94;0.64;0.92;0.68;0.59;0.5;0.89;0.86;1;0.86;0.31;0.8;0.93;0.81;1;1;0.39;0.86;0.54;0.48;0.74;0.78;0.18
768;1227;pg_768;Das ich mir selbst Arbeitsstrukturen aufgebaut habe, die gut für meine mentale Gesundheit und Produktivität sind.;0.88;0.55;1;0.5;1;0.38;1;1;0.01;0.85;0.79;0.75;0.88;0.78;0.14;1;0.78;0.82;0.54;0.14;0.88;0.69;1;1;1;0;1;1;1;1;1;0.05
900;1594;pg_900;Einen guten Abschluss der mich fühlen lässt dass ich ein Studium absolvieren kann wenn ich es mir vornehme.;0.75;1;0.75;0.5;0.53;0.5;0.52;1;0.73;1;1;0.76;0.75;0.25;0;0.47;0.75;0.37;0.14;0.06;0.76;1;0.57;0.5;0.85;0;0.76;0.76;0.75;0;0;0
901;1594;pg_901;"Eine gute Arbeitsmentalität; ich möchte kontraproduktive Patterns breaken";0.75;0.74;1;1;1;0.25;0.5;1;0.87;1;1;0;0.75;1;0.75;0.25;0.24;0.91;0.25;0.35;0.75;0.74;0.64;0.5;0.83;0;0.76;1;0.74;0;0;1
902;1594;pg_902;Fähigkeit, stark umzudenken, und immer persönlich zu expandieren, niemals stagnieren.;0.25;1;1;1;1;0.25;0.5;0.5;0.75;1;1;0;0.75;0.25;0.74;0.25;0.53;1;0;0.4;0.75;1;1;0.5;1;0;1;1;0.75;0.99;1;0
937;1634;pg_937;Gute Noten Schreiben. ;0.75;0.25;0.02;0.99;0.26;0.94;1;0.12;1;0.87;0.25;1;1;0;0.25;0.25;1;1;1;0;0.75;1;0;1;1;0;0.87;1;0.25;0.74;0.23;1
938;1634;pg_938;Spaß haben.;0;0.25;0.5;0.07;0.24;0.06;1;1;0;0.75;0.89;0.44;1;1;1;1;0.25;0.75;0;0.92;0.75;0.56;0.67;0.13;1;1;0.24;0.26;0.25;0.38;1;0.76
